fichier_apx,num_arg,num_ext,semantique,methode,fiabilite,fiabilite_observee,repetition,verite,EXT_AR,CSS_S_sum,CSS_S_min,CSS_S_leximin,CSS_D_sum,CSS_D_min,CSS_D_leximin,CSS_U_sum,CSS_U_min,CSS_U_leximin
PR_uniforme_0.3_rep5.apx,10,8,PR,uniforme,0.3,0.3,5,"['a2', 'a4', 'a6', 'a9']","[['a1', 'a3', 'a5', 'a7', 'a9'], ['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8'], ['a0', 'a2', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8'], ['a0', 'a2', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8'], ['a0', 'a2', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]"
PR_uniforme_0.4_rep1.apx,10,8,PR,uniforme,0.4,0.4,1,"['a0', 'a2', 'a4', 'a6', 'a8']","[['a1', 'a3', 'a5', 'a7', 'a9'], ['a1', 'a3', 'a6', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]"
PR_uniforme_0.4_rep2.apx,10,8,PR,uniforme,0.4,0.4,2,"['a2', 'a5', 'a7', 'a9']","[['a1', 'a2', 'a4', 'a6', 'a8'], ['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]"
PR_uniforme_0.4_rep3.apx,10,8,PR,uniforme,0.4,0.4,3,"['a1', 'a3', 'a5', 'a8']","[['a2', 'a4', 'a6', 'a7', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a2', 'a4', 'a6', 'a9']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a2', 'a4', 'a6', 'a9']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]"
PR_uniforme_0.4_rep4.apx,10,8,PR,uniforme,0.4,0.4,4,"['a1', 'a3', 'a5', 'a8']","[['a2', 'a4', 'a6', 'a7', 'a9'], ['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]"
PR_uniforme_0.4_rep5.apx,10,8,PR,uniforme,0.4,0.4,5,"['a0', 'a2', 'a5', 'a8']","[['a2', 'a4', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]"
PR_uniforme_0.5_rep1.apx,10,8,PR,uniforme,0.5,0.5,1,"['a2', 'a5', 'a7', 'a9']","[['a1', 'a3', 'a5', 'a8'], ['a1', 'a3', 'a5', 'a7', 'a9'], ['a1', 'a3', 'a6', 'a9'], ['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a9'], ['a1', 'a3', 'a6', 'a8'], ['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8'], ['a2', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a6', 'a9'], ['a1', 'a3', 'a6', 'a8'], ['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8'], ['a2', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a6', 'a9'], ['a1', 'a3', 'a6', 'a8'], ['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8'], ['a2', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a8']]"
PR_uniforme_0.5_rep2.apx,10,8,PR,uniforme,0.5,0.5,2,"['a0', 'a2', 'a5', 'a8']","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9'], ['a0', 'a2', 'a5', 'a8']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9'], ['a0', 'a2', 'a5', 'a8']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9'], ['a0', 'a2', 'a5', 'a8']]","[['a2', 'a5', 'a7', 'a9']]"
PR_uniforme_0.5_rep3.apx,10,8,PR,uniforme,0.5,0.5,3,"['a1', 'a3', 'a6', 'a8']","[['a0', 'a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8'], ['a0', 'a2', 'a5', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a5', 'a8'], ['a0', 'a2', 'a5', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a5', 'a8'], ['a0', 'a2', 'a5', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]"
PR_uniforme_0.5_rep4.apx,10,8,PR,uniforme,0.5,0.5,4,"['a0', 'a2', 'a5', 'a8']","[['a1', 'a3', 'a5', 'a7', 'a9'], ['a1', 'a3', 'a5', 'a7', 'a8']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]"
